rank;col_sample_rate;learn_rate;max_depth;sample_rate;model_ids;residual_deviance
164;0,4;0,469;9;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_93;0,258927704937308
165;0,7;0,366;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_156;0,259220770430100
166;0,7;0,282;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_115;0,264858765411177
167;0,2;0,403;9;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_37;0,269590805152587
168;0,3;0,302;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_188;0,274160611705422
169;0,2;0,469;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_123;0,274962161823353
170;0,4;0,248;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_38;0,275197873267010
171;0,7;0,295;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_131;0,276826612576618
172;0,2;0,482;9;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_58;0,279351005783792
173;0,1;0,414;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_17;0,281926198698611
174;0,1;0,393;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_61;0,282471989386932
175;1,0;0,151;10;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_19;0,285358374168888
176;0,8;0,385;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_56;0,288990156614762
177;0,6;0,330;9;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_121;0,293850238310461
178;0,4;0,417;10;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_117;0,299848817776522
179;0,7;0,415;9;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_64;0,304470749784916
180;1,0;0,284;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_83;0,324459417270548
181;0,7;0,183;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_63;0,332223495007116
182;1,0;0,422;9;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_179;0,333772177574613
183;0,4;0,371;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_118;0,342112517952432
184;0,9;0,419;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_48;0,374223233956169
185;0,8;0,446;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_103;0,375840704583603
186;0,8;0,490;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_110;0,377137167383154
187;0,9;0,480;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_104;0,381482264319154
188;0,6;0,450;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_184;0,405656629463428
189;0,9;0,470;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_100;0,500331789060204
