rank;alpha;lambda;model_ids;residual_deviance
386;[0.08];5,33669923120631e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_480;35474,5755874102
387;[0.04];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_197;35474,5809036986
388;[0.06];6,13590727341318e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_511;35474,6580630380
389;[0.08];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_26;35474,6711211684
390;[0.1];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_329;35474,8513967569
391;[0.1];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_173;35474,8579840084
392;[0.08];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_98;35475,0363251419
393;[0.02];1,14975699539774e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_13;35475,1213637938
394;[0.08];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_568;35475,1490194353
395;[0.04];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_48;35475,1742000297
396;[0.1];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_27;35475,2297589467
397;[0.1];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_224;35475,2996126366
398;[0.06];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_290;35475,3049154014
399;[0.0];2,31012970008316e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_447;35475,4142476556
400;[0.08];6,13590727341318e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_494;35475,5308509217
401;[0.1];1,14975699539774e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_492;35475,7594395956
402;[0.08];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_112;35475,7764621505
403;[0.1];5,33669923120631e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_64;35475,8548826789
404;[0.06];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_347;35475,8558956337
405;[0.1];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_346;35475,8920932218
406;[0.04];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_184;35475,9057412841
407;[0.02];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_150;35475,9869252905
408;[0.08];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_264;35476,0086832968
409;[0.08];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_551;35476,0689501632
410;[0.08];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_238;35476,1054837688
411;[0.1];6,13590727341318e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_558;35476,3491768123
412;[0.0];2,47707635599171e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_243;35476,3871978181
413;[0.06];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_510;35476,5358169843
414;[0.1];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_138;35476,6158693407
415;[0.04];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_37;35476,6830475113
416;[0.06];1,14975699539774e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_412;35476,7513175209
417;[0.06];8,69749002617783e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_160;35476,8164956566
418;[0.02];1,32194114846603e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_33;35476,9344728803
419;[0.1];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_188;35476,9847795830
420;[0.1];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_457;35476,9880233183
421;[0.04];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_339;35476,9967776722
422;[0.06];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_72;35477,0016254301
423;[0.08];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_320;35477,0094702799
424;[0.06];1,32194114846603e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_201;35477,3762910885
425;[0.02];1,41747416292680e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_315;35477,3922460349
426;[0.0];2,65608778294669e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_55;35477,4331525744
427;[0.08];1,41747416292680e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_381;35477,4694546367
428;[0.1];1,23284673944207e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_261;35477,5389971863
429;[0.06];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_293;35477,6163267396
