variable_encripted;level_encripted;coefficients;std_error;z_value;p_value;standardized_coefficients
45;1;2,65885171959932e-05;8,71368602225422e-06;3,0513513027767800;2,27813856977621e-03;0,04478538327574460
46;1;1,07606832132037e-01;4,96925760914293e-02;2,1654508700464801;3,03531739571169e-02;0,63040037746037703
47;1;-2,25807099745300e-02;3,54898575533179e-02;-0,6362581179878249;5,24608198210472e-01;-0,17843614635306801
48;1;7,84015517255275e-02;2,23119704409615e-02;3,5138784327893200;4,41614869249984e-04;0,05621393770893540
49;1;1,33860741607565e-03;1,08620741670468e-02;0,1232368142114790;9,01919574219787e-01;0,00290907005821664
50;1;-1,10339527587729e-02;3,60696504970358e-02;-0,3059068387612930;7,59675578839247e-01;-0,06474296993420291
51;1;3,77414136971866e-03;6,05960403534245e-03;0,6228363021256990;5,33392099998007e-01;0,00914535023540790
52;1;-8,53395412072157e-02;9,37489930331347e-02;-0,9102982170384830;3,62665258590104e-01;-0,02025205333253190
53;1;-5,46089759052292e-02;1,19364265808795e-02;-4,5749852801595603;4,76253470016452e-06;-0,07279126833904360
54;1;-8,28144639393863e-03;5,36967498611917e-03;-1,5422621323164800;1,23009907010450e-01;-1,11601336792202011
55;1;3,96403379280151e-04;3,11526988751652e-04;1,2724527684378699;2,03212295448328e-01;1,29098434136292006
56;1;-8,46474243201546e-06;5,83175843527493e-06;-1,4514905797219300;1,46643303496151e-01;-0,72032302197948594
57;1;-1,46581478622126e-04;2,51598052389882e-04;-0,5826018016823920;5,60161392266498e-01;-0,01292402619219080
58;1;6,47517747200440e-05;2,14805209102212e-05;3,0144415487257898;2,57452814267145e-03;0,11205156415553300
59;1;-8,61881651342027e-03;8,39771236715774e-03;-1,0263290925666000;3,04736488593234e-01;-0,02771965879523890
60;1;-5,46817769058254e-02;1,82205180308316e-02;-3,0011098923365500;2,68997467619725e-03;-0,78589136906128398
61;1;6,80137691247792e-04;2,20597336948306e-04;3,0831636530914901;2,04812488584905e-03;1,04511270868111006
62;1;-1,86212615144562e-10;1,09574173068337e-10;-1,6994206748740801;8,92399491754886e-02;-0,16840568340894299
63;1;-7,61976688455521e-02;2,85409387936589e-02;-2,6697674311428501;7,59038009198321e-03;-0,04014774273593450
64;1;4,72283037404085e-02;2,95881344880316e-02;1,5961906540445201;1,10446233588294e-01;0,02868005944313440
65;1;-7,98323087318971e-03;3,28738849037097e-03;-2,4284415719569599;1,51638682176370e-02;-0,04477943860372160
66;1;-5,24178480554516e-02;2,04268852051211e-02;-2,5661204598295901;1,02843105799741e-02;-0,04420206638113380
67;1;-2,17002069870546e-02;5,60800288698262e-03;-3,8695070998314698;1,09055605732045e-04;-0,10344194826294600
68;1;-2,93252158665503e-03;1,38183144399755e-02;-0,2122199201207510;8,31935466660207e-01;-0,00408563434482601
