random;train;test;diff
r51;0,0278450154193734;0,0268728506390203;9,72164780353103e-04
r52;0,0276095278950560;0,0278091323319371;1,99604436881086e-04
r53;0,0275189723856200;0,0281681647655771;6,49192379957097e-04
r54;0,0277021789445061;0,0274378871573721;2,64291787133965e-04
r55;0,0274671182162918;0,0283811043930640;9,13986176772175e-04
r56;0,0276770899970553;0,0275370116403538;1,40078356701441e-04
r57;0,0278742272892746;0,0267499233491644;1,12430394011024e-03
r58;0,0276705661119953;0,0275632062374706;1,07359874524704e-04
r59;0,0277188320756396;0,0273708621032194;3,47969972420249e-04
r60;0,0275872367790429;0,0278957543796355;3,08517600592605e-04
r61;0,0276637313362168;0,0275910131352118;7,27182010050280e-05
r62;0,0278571390646880;0,0268233568932365;1,03378217145143e-03
r63;0,0273139596573027;0,0289876580953458;1,67369843804310e-03
r64;0,0276713518252317;0,0275600598198109;1,11292005420826e-04
r65;0,0277104348889257;0,0274048208473810;3,05614041544687e-04
r66;0,0279230847554354;0,0265512917894074;1,37179296602798e-03
r67;0,0279554391291894;0,0264288670007126;1,52657212847677e-03
r68;0,0274235966341534;0,0285597524761395;1,13615584198604e-03
r69;0,0273712457099110;0,0287598265380884;1,38858082817735e-03
r70;0,0277323026162767;0,0273170528036371;4,15249812639587e-04
r71;0,0278660522804898;0,0267801971776099;1,08585510287984e-03
r72;0,0275820423856775;0,0279188459221736;3,36803536496115e-04
r73;0,0272249762386850;0,0293290964553644;2,10412021667942e-03
r74;0,0277389707961471;0,0272885578858158;4,50412910331283e-04
r75;0,0277398378776010;0,0272888581167986;4,50979760802432e-04
r76;0,0278633121845795;0,0267957560654521;1,06755611912740e-03
r77;0,0276852134883616;0,0275042899089624;1,80923579399191e-04
r78;0,0276348514867513;0,0277063976814611;7,15461947097713e-05
r79;0,0275565625737430;0,0280193902173044;4,62827643561450e-04
r80;0,0276068491785772;0,0278164547471974;2,09605568620177e-04
r81;0,0275563049002759;0,0280242956102492;4,67990709973273e-04
r82;0,0278486151109568;0,0268555337690682;9,93081341888604e-04
r83;0,0272589431156867;0,0292144009101015;1,95545779441483e-03
r84;0,0278424166188961;0,0268695196866870;9,72896932209102e-04
r85;0,0280709816072163;0,0259657282937898;2,10525331342647e-03
r86;0,0280766254570598;0,0259447530925513;2,13187236450848e-03
r87;0,0278032009762508;0,0270321621206874;7,71038855563417e-04
r88;0,0278319916726710;0,0269154368198179;9,16554852853080e-04
r89;0,0277221593253060;0,0273577042122688;3,64455113037170e-04
r90;0,0276764078942232;0,0275390136453612;1,37394248861968e-04
r91;0,0277157405174031;0,0273832621544223;3,32478362980768e-04
r92;0,0278235112461695;0,0269482544503820;8,75256795787541e-04
r93;0,0279605152145294;0,0264043165027689;1,55619871176051e-03
r94;0,0277504532146583;0,0272466180836039;5,03835131054411e-04
r95;0,0274886155282194;0,0282939233963147;8,05307868095337e-04
r96;0,0275081843357073;0,0282186126965987;7,10428360891472e-04
r97;0,0274827563505002;0,0283210958354281;8,38339484927914e-04
r98;0,0277050744224937;0,0274255635206537;2,79510901840033e-04
r99;0,0274975240232898;0,0282548632229489;7,57339199659101e-04
c101;0,0273851514392889;0,0287071386824425;1,32198724315356e-03
c102;0,0276721490657730;0,0275555322806573;1,16616785115618e-04
c103;0,0272825522937840;0,0290760475100570;1,79349521627300e-03
c104;0,0279454188210284;0,0264602025356655;1,48521628536289e-03
c105;0,0281058252704599;0,0258668475940350;2,23897767642490e-03
